****Header****
date 01/15/25 03:41:35
****Body****

All possible value of one measure

Algorithm: SmartSweep_HL#1736329709
AlphaMC:	   0.0000
CalibAuthor: eng
CalibCheckAuthor: N/A
CalibValidity:	invalid
ClassBinID:	   1
ClassID:	N/A
ClassName:	TP540HG10-8000011182
Eff:	   0.2104
Emissivity:	   1.0000
FF:	   0.8001
Fcp:	   1.0270
FcsCC:	   1.0031
FcsMC:	   1.0013
Fcv:	   0.9998
FlashCountAtLastCalib:	1793620
FlashCountAtLastCalibCheck:	N/A
Gavg:	1000.5679
Gtgt:	1000.0000
InstID:	1736329709
InstName: New Sec Cal A8BC4CB
InstType: TP540HG10
InstComment: Silver
Ipmax:	  12.9431
Iref1:	  13.5869
Iref2:	N/A
Isc:	  13.5889
Ivrev1:	N/A
Ivrev2:	N/A
LTI:	   0.0013
LastCalibTime: 2025-01-14 17:38:01
LastCheckTime: N/A
MachStatus:	At Risk
MeasDate:	2025-01-15 03:41:35.666000
MeasStatus:	Ok
Mep: MepSmartSweep
Now: 2025-01-15 03:41:35.918000
Pmax:	 542.1232
Pref1:	   0.0000
Pref2:	N/A
RefDUTIsc:	  13.4160
RefDUTName: New Sec Cal A8BC4CB
RefDUTPmax:	 534.0300
RefDUTSnr:	A8BC4CB
RefDUTType:	Golden
RefDUTVoc:	  49.3210
RemFlashCountForCalib:	1747.0000
Rs:	   0.2720
Rsh:  565.7328
Snr: A8C7A0E
SortingRcpID:	1697254895
SortingRcpName:	TP540 30MM-AIKO-Short cable white tedler(Non DCR)
TempDUT:	  23.6186
TempMC:	  24.4821
TempTgt:   25.0000
Transmissivity:	   1.0000
UserDisplayName: 
UserName: 
UserRole: ENGINEER
Voc:	  49.8642
Vpmax:	  41.8852
Vref1:	N/A
Vrev1:	N/A
Vrev2:	N/A
sessionId: 02415532-7137-41ee-a89a-a185c0f83599

-----------------------

IV curve data :

TimeOffset,Vimp,Iraw,Vraw,Graw,Current,Voltage,Irradiance
0.0018,2.2337,13.5647,5.1749,999.1702,13.5841,5.0797,999.1702
0.0018,2.3847,13.5627,5.3227,999.3457,13.5797,5.2312,999.3457
0.0018,2.5357,13.5666,5.4600,999.2287,13.5853,5.3713,999.2287
0.0018,2.6867,13.5647,5.6290,999.2872,13.5825,5.5439,999.2872
0.0018,2.8377,13.5627,5.7874,999.3457,13.5797,5.7057,999.3457
0.0018,2.9887,13.5627,5.9458,999.2872,13.5805,5.8673,999.2872
0.0018,3.1397,13.5588,6.0830,999.3457,13.5758,6.0074,999.3457
0.0018,3.2907,13.5588,6.2626,999.2872,13.5766,6.1905,999.2872
0.0018,3.4417,13.5647,6.4315,999.5798,13.5785,6.3646,999.5798
0.0018,3.5928,13.5706,6.5688,999.4042,13.5868,6.5047,999.4042
0.0018,3.7438,13.5627,6.7166,999.4042,13.5789,6.6550,999.4042
0.0018,3.8948,13.5666,6.8645,999.1702,13.5861,6.8055,999.1702
0.0018,4.0458,13.5627,7.0123,999.2872,13.5805,6.9566,999.2872
0.0018,4.1968,13.5666,7.1496,999.6383,13.5797,7.0984,999.6383
0.0018,4.3478,13.5588,7.3291,999.4627,13.5742,7.2805,999.4627
0.0018,4.4988,13.5627,7.4769,999.4042,13.5789,7.4316,999.4042
0.0018,4.6498,13.5627,7.6353,999.4042,13.5789,7.5934,999.4042
0.0018,4.8008,13.5627,7.7832,999.5798,13.5766,7.7450,999.5798
0.0019,4.9518,13.5647,7.9416,999.8723,13.5746,7.9080,999.8723
0.0019,5.1029,13.5647,8.1105,999.6383,13.5777,8.0797,999.6383
0.0019,5.2539,13.5647,8.2267,999.5798,13.5785,8.1981,999.5798
0.0019,5.4049,13.5627,8.4168,999.6968,13.5750,8.3926,999.6968
0.0019,5.5559,13.5607,8.5541,999.6968,13.5730,8.5326,999.6968
0.0019,5.7069,13.5607,8.7230,999.9893,13.5690,8.7063,999.9893
0.0019,5.8579,13.5666,8.8709,999.9308,13.5757,8.8575,999.9308
0.0019,6.0089,13.5647,9.0187,999.8723,13.5746,9.0081,999.8723
0.0019,6.1599,13.5647,9.1560,999.7553,13.5761,9.1479,999.7553
0.0019,6.3109,13.5627,9.3038,999.8723,13.5726,9.2992,999.8723
0.0019,6.4619,13.5666,9.4833,999.8138,13.5773,9.4826,999.8138
0.0019,6.6130,13.5686,9.6206,999.8723,13.5785,9.6232,999.8723
0.0019,6.7640,13.5647,9.7896,999.7553,13.5761,9.7950,999.7553
0.0019,6.9150,13.5607,9.9163,999.8138,13.5714,9.9244,999.8138
0.0019,7.0660,13.5627,10.0852,999.9308,13.5718,10.0975,999.9308
0.0019,7.2170,13.5607,10.2542,1000.1063,13.5674,10.2706,1000.1063
0.0019,7.3680,13.5607,10.4020,1000.0478,13.5682,10.4213,1000.0478
0.0019,7.5190,13.5607,10.5499,1000.1063,13.5674,10.5726,1000.1063
0.0019,7.6700,13.5588,10.7188,1000.2234,13.5639,10.7454,1000.2234
0.0019,7.8210,13.5607,10.8667,1000.3404,13.5643,10.8970,1000.3404
0.0019,7.9720,13.5647,11.0356,1000.2819,13.5690,11.0696,1000.2819
0.0020,8.1230,13.5607,11.1835,1000.1063,13.5674,11.2197,1000.1063
0.0020,8.2741,13.5647,11.3524,1000.0478,13.5722,11.3923,1000.0478
0.0020,8.4251,13.5666,11.4897,1000.2819,13.5710,11.5336,1000.2819
0.0020,8.5761,13.5647,11.6375,1000.3404,13.5682,11.6846,1000.3404
0.0020,8.7271,13.5627,11.7643,1000.3404,13.5662,11.8139,1000.3404
0.0020,8.8781,13.5627,11.9649,1000.3404,13.5662,12.0188,1000.3404
0.0020,9.0291,13.5627,12.0916,1000.3404,13.5662,12.1482,1000.3404
0.0020,9.1801,13.5568,12.2711,1000.1648,13.5627,12.3305,1000.1648
0.0020,9.3311,13.5607,12.4190,1000.1648,13.5666,12.4818,1000.1648
0.0020,9.4821,13.5588,12.5668,1000.2234,13.5639,12.6328,1000.2234
0.0020,9.6331,13.5568,12.7146,1000.1648,13.5627,12.7835,1000.1648
0.0020,9.7842,13.5568,12.8836,1000.3404,13.5603,12.9567,1000.3404
0.0020,9.9352,13.5529,13.0209,1000.5159,13.5540,13.0972,1000.5159
0.0020,10.0862,13.5529,13.1898,1000.3989,13.5556,13.2693,1000.3989
0.0020,10.2372,13.5568,13.3377,1000.2819,13.5611,13.4202,1000.2819
0.0020,10.3882,13.5588,13.4855,1000.2234,13.5639,13.5712,1000.2234
0.0020,10.5392,13.5607,13.6439,1000.1063,13.5674,13.7327,1000.1063
0.0020,10.6902,13.5548,13.7812,999.9893,13.5631,13.8720,999.9893
0.0020,10.8412,13.5568,13.9502,1000.0478,13.5643,14.0449,1000.0478
0.0021,10.9922,13.5548,14.1085,1000.1648,13.5608,14.2070,1000.1648
0.0021,11.1432,13.5588,14.2564,1000.4574,13.5607,14.3593,1000.4574
0.0021,11.2943,13.5529,14.4148,1000.2234,13.5580,14.5198,1000.2234
0.0021,11.4453,13.5529,14.5626,999.9893,13.5612,14.6699,999.9893
0.0021,11.5963,13.5489,14.7210,1000.0478,13.5564,14.8316,1000.0478
0.0021,11.7473,13.5548,14.8900,1000.3404,13.5584,15.0057,1000.3404
0.0021,11.8983,13.5509,15.0484,1000.3404,13.5544,15.1672,1000.3404
0.0021,12.0493,13.5529,15.2068,1000.0478,13.5604,15.3280,1000.0478
0.0021,12.2003,13.5509,15.3546,999.9893,13.5592,15.4787,999.9893
0.0021,12.3513,13.5529,15.4919,1000.1063,13.5596,15.6195,1000.1063
0.0021,12.5023,13.5509,15.6503,1000.1063,13.5576,15.7811,1000.1063
0.0021,12.6533,13.5568,15.7876,999.9893,13.5651,15.9213,999.9893
0.0021,12.8044,13.5568,15.9565,1000.1063,13.5635,16.0943,1000.1063
0.0021,12.9554,13.5509,16.1149,1000.2819,13.5552,16.2563,1000.2819
0.0021,13.1064,13.5489,16.2733,1000.0478,13.5564,16.4171,1000.0478
0.0021,13.2574,13.5470,16.4212,999.8723,13.5569,16.5672,999.8723
0.0021,13.4084,13.5489,16.5796,999.8723,13.5588,16.7292,999.8723
0.0021,13.5594,13.5509,16.7380,1000.1063,13.5576,16.8920,1000.1063
0.0021,13.7104,13.5430,16.8964,999.9893,13.5513,17.0527,999.9893
0.0021,13.8614,13.5509,17.0548,999.8138,13.5616,17.2145,999.8138
0.0022,14.0124,13.5529,17.1920,999.8723,13.5628,17.3550,999.8723
0.0022,14.1634,13.5529,17.3821,1000.0478,13.5604,17.5498,1000.0478
0.0022,14.3144,13.5470,17.4983,1000.0478,13.5545,17.6680,1000.0478
0.0022,14.4655,13.5470,17.6778,999.8723,13.5569,17.8507,999.8723
0.0022,14.6165,13.5470,17.8362,999.8723,13.5569,18.0125,999.8723
0.0022,14.7675,13.5470,17.9735,1000.0478,13.5545,18.1533,1000.0478
0.0022,14.9185,13.5509,18.1530,999.9308,13.5600,18.3366,999.9308
0.0022,15.0695,13.5509,18.2797,999.9893,13.5592,18.4662,999.9893
0.0022,15.2205,13.5470,18.4381,999.9893,13.5553,18.6277,999.9893
0.0022,15.3715,13.5529,18.5859,999.9308,13.5620,18.7789,999.9308
0.0022,15.5225,13.5489,18.7549,999.9893,13.5572,18.9514,999.9893
0.0022,15.6735,13.5470,18.9133,999.9308,13.5561,19.1128,999.9308
0.0022,15.8245,13.5470,19.0717,999.6383,13.5600,19.2735,999.6383
0.0022,15.9756,13.5548,19.2090,999.9308,13.5639,19.4154,999.9308
0.0022,16.1266,13.5509,19.3885,1000.1063,13.5576,19.5991,1000.1063
0.0022,16.2776,13.5489,19.5152,999.9893,13.5572,19.7279,999.9893
