****Header****
date 01/15/25 03:03:53
****Body****

All possible value of one measure

Algorithm: SmartSweep_HL#1736329709
AlphaMC:	   0.0000
CalibAuthor: eng
CalibCheckAuthor: N/A
CalibValidity:	invalid
ClassBinID:	   1
ClassID:	N/A
ClassName:	TP540HG10-8000011182
Eff:	   0.2098
Emissivity:	   1.0000
FF:	   0.7974
Fcp:	   1.0270
FcsCC:	   1.0031
FcsMC:	   1.0013
Fcv:	   0.9998
FlashCountAtLastCalib:	1793620
FlashCountAtLastCalibCheck:	N/A
Gavg:	1000.5107
Gtgt:	1000.0000
InstID:	1736329709
InstName: New Sec Cal A8BC4CB
InstType: TP540HG10
InstComment: Silver
Ipmax:	  12.9025
Iref1:	  13.5782
Iref2:	N/A
Isc:	  13.5792
Ivrev1:	N/A
Ivrev2:	N/A
LTI:	   0.0013
LastCalibTime: 2025-01-14 17:38:01
LastCheckTime: N/A
MachStatus:	At Risk
MeasDate:	2025-01-15 03:03:53.678000
MeasStatus:	Ok
Mep: MepSmartSweep
Now: 2025-01-15 03:03:53.877000
Pmax:	 540.5840
Pref1:	   0.0000
Pref2:	N/A
RefDUTIsc:	  13.4160
RefDUTName: New Sec Cal A8BC4CB
RefDUTPmax:	 534.0300
RefDUTSnr:	A8BC4CB
RefDUTType:	Golden
RefDUTVoc:	  49.3210
RemFlashCountForCalib:	1792.0000
Rs:	   0.2799
Rsh:  582.0489
Snr: A8C7A02
SortingRcpID:	1697254895
SortingRcpName:	TP540 30MM-AIKO-Short cable white tedler(Non DCR)
TempDUT:	  25.9966
TempMC:	  24.4821
TempTgt:   25.0000
Transmissivity:	   1.0000
UserDisplayName: 
UserName: 
UserRole: ENGINEER
Voc:	  49.9240
Vpmax:	  41.8977
Vref1:	N/A
Vrev1:	N/A
Vrev2:	N/A
sessionId: 7a6a6e3d-4c26-44f3-aec8-d61bb2f08982

-----------------------

IV curve data :

TimeOffset,Vimp,Iraw,Vraw,Graw,Current,Voltage,Irradiance
0.0018,2.0827,13.5765,5.0059,999.4627,13.5779,5.2552,999.4627
0.0018,2.2337,13.5745,5.1749,999.7553,13.5719,5.4287,999.7553
0.0018,2.3847,13.5706,5.3227,999.6968,13.5688,5.5792,999.6968
0.0018,2.5357,13.5745,5.4600,999.7553,13.5719,5.7199,999.7553
0.0018,2.6867,13.5725,5.6290,999.6968,13.5708,5.8921,999.6968
0.0018,2.8377,13.5725,5.7979,999.6383,13.5716,6.0644,999.6383
0.0018,2.9887,13.5784,5.9563,999.5798,13.5783,6.2265,999.5798
0.0018,3.1397,13.5745,6.1147,999.6968,13.5727,6.3884,999.6968
0.0018,3.2907,13.5706,6.2626,999.8138,13.5672,6.5395,999.8138
0.0018,3.4417,13.5686,6.4210,999.6383,13.5676,6.7004,999.6383
0.0018,3.5928,13.5745,6.5582,999.5213,13.5751,6.8407,999.5213
0.0018,3.7438,13.5706,6.6955,999.8138,13.5672,6.9817,999.8138
0.0018,3.8948,13.5765,6.8750,999.6383,13.5755,7.1648,999.6383
0.0018,4.0458,13.5706,7.0229,999.6383,13.5696,7.3153,999.6383
0.0018,4.1968,13.5706,7.1813,999.7553,13.5680,7.4775,999.7553
0.0018,4.3478,13.5725,7.3291,999.7553,13.5700,7.6287,999.7553
0.0018,4.4988,13.5745,7.4981,999.5798,13.5743,7.8007,999.5798
0.0018,4.6498,13.5706,7.6459,999.7553,13.5680,7.9521,999.7553
0.0018,4.8008,13.5706,7.8043,999.6968,13.5688,8.1136,999.6968
0.0019,4.9518,13.5706,7.9627,999.4627,13.5720,8.2745,999.4627
0.0019,5.1029,13.5725,8.1000,999.5798,13.5724,8.4153,999.5798
0.0019,5.2539,13.5686,8.2478,999.6968,13.5668,8.5664,999.6968
0.0019,5.4049,13.5706,8.4168,999.5798,13.5704,8.7387,999.5798
0.0019,5.5559,13.5706,8.5646,999.6968,13.5688,8.8901,999.6968
