****Header****
date 01/15/25 03:18:51
****Body****

All possible value of one measure

Algorithm: SmartSweep_HL#1736329709
AlphaMC:	   0.0000
CalibAuthor: eng
CalibCheckAuthor: N/A
CalibValidity:	invalid
ClassBinID:	   1
ClassID:	N/A
ClassName:	TP540HG10-8000011182
Eff:	   0.2104
Emissivity:	   1.0000
FF:	   0.7974
Fcp:	   1.0270
FcsCC:	   1.0031
FcsMC:	   1.0013
Fcv:	   0.9998
FlashCountAtLastCalib:	1793620
FlashCountAtLastCalibCheck:	N/A
Gavg:	1000.4248
Gtgt:	1000.0000
InstID:	1736329709
InstName: New Sec Cal A8BC4CB
InstType: TP540HG10
InstComment: Silver
Ipmax:	  12.9216
Iref1:	  13.5863
Iref2:	N/A
Isc:	  13.5838
Ivrev1:	N/A
Ivrev2:	N/A
LTI:	   0.0011
LastCalibTime: 2025-01-14 17:38:01
LastCheckTime: N/A
MachStatus:	At Risk
MeasDate:	2025-01-15 03:18:51.070000
MeasStatus:	Ok
Mep: MepSmartSweep
Now: 2025-01-15 03:18:51.272000
Pmax:	 542.2248
Pref1:	   0.0000
Pref2:	N/A
RefDUTIsc:	  13.4160
RefDUTName: New Sec Cal A8BC4CB
RefDUTPmax:	 534.0300
RefDUTSnr:	A8BC4CB
RefDUTType:	Golden
RefDUTVoc:	  49.3210
RemFlashCountForCalib:	1774.0000
Rs:	   0.2827
Rsh:  614.8030
Snr: A8C7A0D
SortingRcpID:	1697254895
SortingRcpName:	TP540 30MM-AIKO-Short cable white tedler(Non DCR)
TempDUT:	  24.8138
TempMC:	  24.5715
TempTgt:   25.0000
Transmissivity:	   1.0000
UserDisplayName: 
UserName: 
UserRole: ENGINEER
Voc:	  50.0608
Vpmax:	  41.9627
Vref1:	N/A
Vrev1:	N/A
Vrev2:	N/A
sessionId: 3c280c8b-58d7-41c5-894f-31515369f18d

-----------------------

IV curve data :

TimeOffset,Vimp,Iraw,Vraw,Graw,Current,Voltage,Irradiance
0.0018,2.0827,13.5745,5.0059,999.6968,13.5797,5.0834,999.6968
0.0018,2.2337,13.5765,5.1643,999.8723,13.5793,5.2460,999.8723
0.0018,2.3847,13.5706,5.3227,999.7553,13.5750,5.4068,999.7553
0.0018,2.5357,13.5706,5.4811,999.8138,13.5742,5.5688,999.8138
0.0018,2.6867,13.5784,5.6290,999.9308,13.5805,5.7209,999.9308
0.0018,2.8377,13.5725,5.7874,999.8138,13.5762,5.8817,999.8138
0.0018,2.9887,13.5745,5.9352,999.8723,13.5773,6.0331,999.8723
0.0018,3.1397,13.5725,6.1042,999.4627,13.5809,6.2039,999.4627
0.0018,3.2907,13.5745,6.2520,999.5798,13.5813,6.3555,999.5798
0.0018,3.4417,13.5745,6.4315,999.6968,13.5797,6.5393,999.6968
0.0018,3.5928,13.5765,6.5688,999.6383,13.5825,6.6794,999.6383
0.0018,3.7438,13.5706,6.7166,999.6968,13.5758,6.8301,999.6968
0.0018,3.8948,13.5745,6.8750,999.6383,13.5805,6.9920,999.6383
0.0018,4.0458,13.5666,7.0229,999.5798,13.5734,7.1421,999.5798
0.0018,4.1968,13.5686,7.1918,999.6968,13.5738,7.3153,999.6968
0.0018,4.3478,13.5686,7.3608,999.7553,13.5730,7.4881,999.7553
0.0018,4.4988,13.5706,7.4875,999.5213,13.5782,7.6167,999.5213
0.0018,4.6498,13.5725,7.6565,999.5213,13.5801,7.7894,999.5213
0.0018,4.8008,13.5706,7.7937,999.5798,13.5774,7.9297,999.5798
0.0019,4.9518,13.5666,7.9521,999.6383,13.5726,8.0914,999.6383
0.0019,5.1029,13.5686,8.1000,999.7553,13.5730,8.2430,999.7553
0.0019,5.2539,13.5745,8.2584,999.7553,13.5789,8.4052,999.7553
0.0019,5.4049,13.5666,8.4062,999.5798,13.5734,8.5549,999.5798
0.0019,5.5559,13.5647,8.5646,999.6968,13.5699,8.7169,999.6968
