****Header****
date 01/15/25 03:35:58
****Body****

All possible value of one measure

Algorithm: SmartSweep_HL#1736329709
AlphaMC:	   0.0000
CalibAuthor: eng
CalibCheckAuthor: N/A
CalibValidity:	invalid
ClassBinID:	   2
ClassID:	N/A
ClassName:	TP545HG10-8000011181
Eff:	   0.2119
Emissivity:	   1.0000
FF:	   0.8032
Fcp:	   1.0270
FcsCC:	   1.0031
FcsMC:	   1.0013
Fcv:	   0.9998
FlashCountAtLastCalib:	1793620
FlashCountAtLastCalibCheck:	N/A
Gavg:	1000.5068
Gtgt:	1000.0000
InstID:	1736329709
InstName: New Sec Cal A8BC4CB
InstType: TP540HG10
InstComment: Silver
Ipmax:	  12.9438
Iref1:	  13.6073
Iref2:	N/A
Isc:	  13.5993
Ivrev1:	N/A
Ivrev2:	N/A
LTI:	   0.0013
LastCalibTime: 2025-01-14 17:38:01
LastCheckTime: N/A
MachStatus:	At Risk
MeasDate:	2025-01-15 03:35:58.216000
MeasStatus:	Ok
Mep: MepSmartSweep
Now: 2025-01-15 03:35:58.445000
Pmax:	 546.0381
Pref1:	   0.0000
Pref2:	N/A
RefDUTIsc:	  13.4160
RefDUTName: New Sec Cal A8BC4CB
RefDUTPmax:	 534.0300
RefDUTSnr:	A8BC4CB
RefDUTType:	Golden
RefDUTVoc:	  49.3210
RemFlashCountForCalib:	1757.0000
Rs:	   0.2686
Rsh:  594.2501
Snr: A8C7A0F
SortingRcpID:	1697254895
SortingRcpName:	TP540 30MM-AIKO-Short cable white tedler(Non DCR)
TempDUT:	  26.7726
TempMC:	  24.4821
TempTgt:   25.0000
Transmissivity:	   1.0000
UserDisplayName: 
UserName: 
UserRole: ENGINEER
Voc:	  49.9909
Vpmax:	  42.1852
Vref1:	N/A
Vrev1:	N/A
Vrev2:	N/A
sessionId: 29c3c37c-aa32-4e07-9516-f8d38b15f57a

-----------------------

IV curve data :

TimeOffset,Vimp,Iraw,Vraw,Graw,Current,Voltage,Irradiance
0.0018,2.2337,13.6000,5.1855,1000.1648,13.5873,5.5542,1000.1648
0.0018,2.3847,13.5961,5.3122,1000.2234,13.5826,5.6835,1000.2234
0.0018,2.5357,13.6000,5.4706,1000.2234,13.5865,5.8456,1000.2234
0.0018,2.6867,13.5981,5.6184,1000.3404,13.5830,5.9968,1000.3404
0.0018,2.8377,13.5961,5.7768,1000.2819,13.5818,6.1582,1000.2819
0.0018,2.9887,13.5961,5.9246,1000.2819,13.5818,6.3092,1000.2819
0.0018,3.1397,13.5941,6.1147,1000.1063,13.5822,6.5026,1000.1063
0.0018,3.2907,13.5961,6.2731,1000.3989,13.5802,6.6656,1000.3989
0.0018,3.4417,13.5981,6.3998,1000.1063,13.5862,6.7941,1000.1063
0.0018,3.5928,13.6020,6.5688,1000.2234,13.5885,6.9674,1000.2234
0.0018,3.7438,13.5922,6.7166,1000.3404,13.5771,7.1180,1000.3404
0.0018,3.8948,13.5922,6.8750,1000.2819,13.5779,7.2796,1000.2819
0.0018,4.0458,13.5981,7.0229,1000.2234,13.5846,7.4308,1000.2234
0.0018,4.1968,13.5941,7.1707,1000.3404,13.5791,7.5819,1000.3404
0.0018,4.3478,13.5941,7.3186,1000.2819,13.5799,7.7327,1000.2819
0.0018,4.4988,13.6020,7.4981,999.9308,13.5925,7.9154,999.9308
0.0018,4.6498,13.5961,7.6459,1000.1063,13.5842,8.0665,1000.1063
0.0018,4.8008,13.6000,7.7937,1000.3404,13.5850,8.2187,1000.3404
0.0019,4.9518,13.5961,7.9627,1000.1648,13.5834,8.3903,1000.1648
0.0019,5.1029,13.5941,8.1105,1000.2234,13.5807,8.5413,1000.2234
0.0019,5.2539,13.5902,8.2584,1000.1648,13.5775,8.6918,1000.1648
0.0019,5.4049,13.5941,8.4062,1000.0478,13.5830,8.8427,1000.0478
0.0019,5.5559,13.5902,8.5646,999.9893,13.5799,9.0039,999.9893
0.0019,5.7069,13.5902,8.7230,999.9893,13.5799,9.1657,999.9893
0.0019,5.8579,13.5961,8.8709,1000.1063,13.5842,9.3176,1000.1063
0.0019,6.0089,13.5941,9.0292,1000.1063,13.5822,9.4792,1000.1063
0.0019,6.1599,13.5883,9.1771,1000.0478,13.5771,9.6295,1000.0478
0.0019,6.3109,13.5883,9.3355,999.8723,13.5795,9.7906,999.8723
0.0019,6.4619,13.5883,9.4833,999.9308,13.5787,9.9418,999.9308
0.0019,6.6130,13.5902,9.6417,999.9893,13.5799,10.1040,999.9893
0.0019,6.7640,13.5883,9.8001,999.9308,13.5787,10.2654,999.9308
0.0019,6.9150,13.5863,9.9268,999.5798,13.5815,10.3934,999.5798
0.0019,7.0660,13.5883,10.0958,999.9308,13.5787,10.5674,999.9308
0.0019,7.2170,13.5883,10.2542,999.8723,13.5795,10.7289,999.8723
0.0019,7.3680,13.5863,10.4020,999.7553,13.5792,10.8793,999.7553
0.0019,7.5190,13.5902,10.5604,999.8723,13.5815,11.0418,999.8723
0.0019,7.6700,13.5922,10.7083,1000.0478,13.5811,11.1936,1000.0478
0.0019,7.8210,13.5922,10.8878,999.8138,13.5843,11.3761,999.8138
0.0019,7.9720,13.5863,11.0567,999.8138,13.5784,11.5482,999.8138
0.0020,8.1230,13.5883,11.1835,999.8723,13.5795,11.6780,999.8723
0.0020,8.2741,13.5863,11.3524,999.8723,13.5776,11.8504,999.8723
0.0020,8.4251,13.5902,11.5108,999.9308,13.5807,12.0127,999.9308
0.0020,8.5761,13.5883,11.6587,999.7553,13.5811,12.1629,999.7553
0.0020,8.7271,13.5902,11.8065,999.6968,13.5839,12.3138,999.6968
0.0020,8.8781,13.5883,11.9543,999.8723,13.5795,12.4653,999.8723
0.0020,9.0291,13.5883,12.1339,999.8138,13.5803,12.6484,999.8138
0.0020,9.1801,13.5922,12.2923,999.8138,13.5843,12.8105,999.8138
0.0020,9.3311,13.5883,12.4190,999.8723,13.5795,12.9398,999.8723
0.0020,9.4821,13.5902,12.5774,999.7553,13.5831,13.1013,999.7553
0.0020,9.6331,13.5922,12.7252,999.6383,13.5866,13.2521,999.6383
0.0020,9.7842,13.5902,12.9047,999.8138,13.5823,13.4359,999.8138
0.0020,9.9352,13.5883,13.0526,999.8723,13.5795,13.5869,999.8723
0.0020,10.0862,13.5922,13.2004,999.6968,13.5859,13.7376,999.6968
0.0020,10.2372,13.5922,13.3482,999.8138,13.5843,13.8890,999.8138
0.0020,10.3882,13.5922,13.4961,999.6968,13.5859,14.0396,999.6968
0.0020,10.5392,13.5883,13.6650,999.8138,13.5803,14.2122,999.8138
0.0020,10.6902,13.5922,13.8129,999.9308,13.5827,14.3640,999.9308
0.0020,10.8412,13.5922,13.9713,999.9893,13.5819,14.5260,999.9893
0.0021,10.9922,13.5883,14.1297,999.7553,13.5811,14.6866,999.7553
0.0021,11.1432,13.5883,14.2881,999.9308,13.5787,14.8490,999.9308
0.0021,11.2943,13.5883,14.4253,999.9308,13.5787,14.9892,999.9308
0.0021,11.4453,13.5843,14.5732,999.8138,13.5764,15.1394,999.8138
0.0021,11.5963,13.5824,14.7316,999.9893,13.5720,15.3017,999.9893
0.0021,11.7473,13.5883,14.9217,1000.0478,13.5771,15.4965,1000.0478
0.0021,11.8983,13.5902,15.0484,999.8138,13.5823,15.6252,999.8138
0.0021,12.0493,13.5843,15.2173,999.9308,13.5748,15.7977,999.9308
0.0021,12.2003,13.5804,15.3652,999.9308,13.5709,15.9484,999.9308
0.0021,12.3513,13.5804,15.5025,999.9308,13.5709,16.0886,999.9308
0.0021,12.5023,13.5863,15.6609,999.9308,13.5768,16.2509,999.9308
0.0021,12.6533,13.5843,15.8087,1000.1063,13.5724,16.4023,1000.1063
0.0021,12.8044,13.5883,16.0093,1000.1063,13.5763,16.6076,1000.1063
0.0021,12.9554,13.5883,16.1255,999.8723,13.5795,16.7253,999.8723
0.0021,13.1064,13.5843,16.2839,1000.1063,13.5724,16.8877,1000.1063
0.0021,13.2574,13.5824,16.4423,1000.3404,13.5673,17.0501,1000.3404
0.0021,13.4084,13.5843,16.5796,1000.2234,13.5708,17.1901,1000.2234
