****Header****
date 01/15/25 05:01:00
****Body****

All possible value of one measure

Algorithm: SmartSweep_HL#1736329709
AlphaMC:	   0.0000
CalibAuthor: eng
CalibCheckAuthor: N/A
CalibValidity:	invalid
ClassBinID:	   3
ClassID:	N/A
ClassName:	TP550HG10-8000011180
Eff:	   0.2137
Emissivity:	   1.0000
FF:	   0.8075
Fcp:	   1.0270
FcsCC:	   1.0031
FcsMC:	   1.0013
Fcv:	   0.9998
FlashCountAtLastCalib:	1793620
FlashCountAtLastCalibCheck:	N/A
Gavg:	1000.5270
Gtgt:	1000.0000
InstID:	1736329709
InstName: New Sec Cal A8BC4CB
InstType: TP540HG10
InstComment: Silver
Ipmax:	  12.9666
Iref1:	  13.5851
Iref2:	N/A
Isc:	  13.5734
Ivrev1:	N/A
Ivrev2:	N/A
LTI:	   0.0016
LastCalibTime: 2025-01-14 17:38:01
LastCheckTime: N/A
MachStatus:	At Risk
MeasDate:	2025-01-15 05:01:00.464000
MeasStatus:	Ok
Mep: MepSmartSweep
Now: 2025-01-15 05:01:00.657000
Pmax:	 550.8111
Pref1:	   0.0000
Pref2:	N/A
RefDUTIsc:	  13.4160
RefDUTName: New Sec Cal A8BC4CB
RefDUTPmax:	 534.0300
RefDUTSnr:	A8BC4CB
RefDUTType:	Golden
RefDUTVoc:	  49.3210
RemFlashCountForCalib:	1668.0000
Rs:	   0.2593
Rsh:  525.7810
Snr: A8C7A1F
SortingRcpID:	1697254895
SortingRcpName:	TP540 30MM-AIKO-Short cable white tedler(Non DCR)
TempDUT:	  24.1589
TempMC:	  23.9457
TempTgt:   25.0000
Transmissivity:	   1.0000
UserDisplayName: 
UserName: 
UserRole: ENGINEER
Voc:	  50.2525
Vpmax:	  42.4793
Vref1:	N/A
Vrev1:	N/A
Vrev2:	N/A
sessionId: 217cfb7c-9f1a-488b-bcb2-6b6ff9eaa365

-----------------------

IV curve data :

TimeOffset,Vimp,Iraw,Vraw,Graw,Current,Voltage,Irradiance
0.0018,2.2337,13.5607,5.1327,1000.3404,13.5611,5.1193,1000.3404
0.0018,2.3847,13.5588,5.3016,1000.3989,13.5583,5.2919,1000.3989
0.0018,2.5357,13.5607,5.4706,1000.5744,13.5579,5.4652,1000.5744
0.0018,2.6867,13.5529,5.6184,1000.6914,13.5485,5.6160,1000.6914
0.0018,2.8377,13.5568,5.7768,1000.9255,13.5492,5.7788,1000.9255
0.0018,2.9887,13.5529,5.9141,1000.6914,13.5485,5.9179,1000.6914
0.0018,3.1397,13.5529,6.0936,1000.6914,13.5485,6.1012,1000.6914
0.0018,3.2907,13.5529,6.2203,1000.9255,13.5453,6.2314,1000.9255
0.0018,3.4417,13.5529,6.3893,1000.8084,13.5469,6.4036,1000.8084
0.0018,3.5928,13.5568,6.5477,1000.7499,13.5516,6.5654,1000.7499
0.0018,3.7438,13.5588,6.6850,1000.8670,13.5520,6.7062,1000.8670
0.0018,3.8948,13.5529,6.8434,1000.8670,13.5461,6.8674,1000.8670
0.0018,4.0458,13.5509,7.0018,1000.8670,13.5441,7.0290,1000.8670
0.0018,4.1968,13.5568,7.1602,1001.0425,13.5476,7.1919,1001.0425
0.0018,4.3478,13.5509,7.2974,1000.9255,13.5433,7.3312,1000.9255
0.0018,4.4988,13.5489,7.4769,1000.9840,13.5406,7.5145,1000.9840
0.0018,4.6498,13.5489,7.6353,1000.9255,13.5413,7.6761,1000.9255
0.0018,4.8008,13.5470,7.8149,1000.8670,13.5402,7.8590,1000.8670
0.0019,4.9518,13.5450,7.9416,1000.9255,13.5374,7.9885,1000.9255
0.0019,5.1029,13.5509,8.0789,1000.7499,13.5457,8.1285,1000.7499
0.0019,5.2539,13.5489,8.2584,1000.8084,13.5429,8.3119,1000.8084
0.0019,5.4049,13.5489,8.3957,1000.8670,13.5421,8.4523,1000.8670
0.0019,5.5559,13.5529,8.5435,1000.9840,13.5445,8.6040,1000.9840
0.0019,5.7069,13.5450,8.7125,1000.8670,13.5382,8.7755,1000.8670
0.0019,5.8579,13.5470,8.8603,1000.6329,13.5434,8.9258,1000.6329
0.0019,6.0089,13.5450,9.0398,1000.6329,13.5414,9.1089,1000.6329
0.0019,6.1599,13.5509,9.1876,1000.8084,13.5449,9.2610,1000.8084
0.0019,6.3109,13.5489,9.3144,1000.5744,13.5461,9.3894,1000.5744
0.0019,6.4619,13.5470,9.4833,1000.3989,13.5465,9.5612,1000.3989
0.0019,6.6130,13.5470,9.6312,1000.3404,13.5473,9.7119,1000.3404
0.0019,6.7640,13.5489,9.8001,1000.3404,13.5493,9.8846,1000.3404
0.0019,6.9150,13.5529,9.9374,1000.3989,13.5524,10.0253,1000.3989
0.0019,7.0660,13.5489,10.0958,1000.3404,13.5493,10.1866,1000.3404
0.0019,7.2170,13.5470,10.2542,1000.2819,13.5481,10.3479,1000.2819
0.0019,7.3680,13.5470,10.3915,1000.2234,13.5489,10.4879,1000.2234
0.0019,7.5190,13.5450,10.5710,1000.1648,13.5477,10.6709,1000.1648
0.0019,7.6700,13.5411,10.6977,1000.1063,13.5446,10.7998,1000.1063
0.0019,7.8210,13.5411,10.8772,1000.2819,13.5422,10.9837,1000.2819
0.0019,7.9720,13.5470,11.0462,999.9308,13.5529,11.1555,999.9308
0.0020,8.1230,13.5411,11.1729,999.8723,13.5478,11.2842,999.8723
0.0020,8.2741,13.5450,11.3313,999.8138,13.5525,11.4460,999.8138
0.0020,8.4251,13.5411,11.5003,999.8138,13.5486,11.6183,999.8138
0.0020,8.5761,13.5372,11.6164,999.8138,13.5446,11.7366,999.8138
0.0020,8.7271,13.5450,11.8065,999.8138,13.5525,11.9313,999.8138
0.0020,8.8781,13.5450,11.9438,999.5798,13.5557,12.0707,999.5798
0.0020,9.0291,13.5450,12.0811,999.8138,13.5525,12.2117,999.8138
0.0020,9.1801,13.5450,12.2606,999.6383,13.5549,12.3944,999.6383
0.0020,9.3311,13.5391,12.4084,999.4627,13.5514,12.5442,999.4627
0.0020,9.4821,13.5391,12.5774,999.5213,13.5506,12.7170,999.5213
0.0020,9.6331,13.5411,12.7146,999.5213,13.5525,12.8573,999.5213
0.0020,9.7842,13.5470,12.8836,999.5213,13.5584,13.0303,999.5213
0.0020,9.9352,13.5430,13.0314,999.5798,13.5537,13.1812,999.5798
0.0020,10.0862,13.5391,13.1687,999.4042,13.5522,13.3204,999.4042
0.0020,10.2372,13.5430,13.3482,999.4042,13.5561,13.5041,999.4042
0.0020,10.3882,13.5391,13.5066,999.4042,13.5522,13.6655,999.4042
0.0020,10.5392,13.5430,13.6545,999.4627,13.5553,13.8170,999.4627
0.0020,10.6902,13.5450,13.8129,999.2872,13.5596,13.9783,999.2872
0.0020,10.8412,13.5391,13.9502,999.4627,13.5514,14.1186,999.4627
0.0021,10.9922,13.5372,14.1085,999.4627,13.5494,14.2802,999.4627
0.0021,11.1432,13.5391,14.2669,999.3457,13.5530,14.4417,999.3457
0.0021,11.2943,13.5411,14.4253,999.4042,13.5541,14.6038,999.4042
0.0021,11.4453,13.5450,14.5521,999.4627,13.5573,14.7337,999.4627
0.0021,11.5963,13.5470,14.7421,999.4627,13.5592,14.9280,999.4627
0.0021,11.7473,13.5391,14.8689,999.6383,13.5490,15.0574,999.6383
0.0021,11.8983,13.5411,15.0273,999.5798,13.5517,15.2191,999.5798
0.0021,12.0493,13.5411,15.1857,999.5798,13.5517,15.3808,999.5798
0.0021,12.2003,13.5430,15.3546,999.6383,13.5529,15.5537,999.6383
0.0021,12.3513,13.5391,15.5025,999.7553,13.5474,15.7048,999.7553
0.0021,12.5023,13.5489,15.6397,999.7553,13.5572,15.8457,999.7553
0.0021,12.6533,13.5450,15.8087,999.6968,13.5541,16.0178,999.6968
0.0021,12.8044,13.5391,15.9671,999.6968,13.5482,16.1790,999.6968
0.0021,12.9554,13.5411,16.1044,999.6968,13.5502,16.3194,999.6968
0.0021,13.1064,13.5411,16.2839,999.6968,13.5502,16.5027,999.6968
0.0021,13.2574,13.5470,16.4317,999.8723,13.5537,16.6547,999.8723
0.0021,13.4084,13.5430,16.5796,1000.0478,13.5474,16.8060,1000.0478
0.0021,13.5594,13.5450,16.7485,1000.0478,13.5493,16.9787,1000.0478
0.0021,13.7104,13.5411,16.8858,999.8138,13.5486,17.1178,999.8138
0.0021,13.8614,13.5411,17.0442,999.8723,13.5478,17.2797,999.8723
0.0022,14.0124,13.5489,17.2237,1000.1063,13.5525,17.4645,1000.1063
