****Header****
date 01/15/25 06:21:04
****Body****

All possible value of one measure

Algorithm: SmartSweep_HL#1736329709
AlphaMC:	   0.0000
CalibAuthor: eng
CalibCheckAuthor: N/A
CalibValidity:	invalid
ClassBinID:	   2
ClassID:	N/A
ClassName:	TP545HG10-8000011181
Eff:	   0.2116
Emissivity:	   1.0000
FF:	   0.8008
Fcp:	   1.0270
FcsCC:	   1.0031
FcsMC:	   1.0013
Fcv:	   0.9998
FlashCountAtLastCalib:	1793620
FlashCountAtLastCalibCheck:	N/A
Gavg:	1000.5619
Gtgt:	1000.0000
InstID:	1736329709
InstName: New Sec Cal A8BC4CB
InstType: TP540HG10
InstComment: Silver
Ipmax:	  12.9363
Iref1:	  13.5672
Iref2:	N/A
Isc:	  13.5667
Ivrev1:	N/A
Ivrev2:	N/A
LTI:	   0.0015
LastCalibTime: 2025-01-14 17:38:01
LastCheckTime: N/A
MachStatus:	At Risk
MeasDate:	2025-01-15 06:21:03.807000
MeasStatus:	Ok
Mep: MepSmartSweep
Now: 2025-01-15 06:21:04.268000
Pmax:	 545.3422
Pref1:	   0.0000
Pref2:	N/A
RefDUTIsc:	  13.4160
RefDUTName: New Sec Cal A8BC4CB
RefDUTPmax:	 534.0300
RefDUTSnr:	A8BC4CB
RefDUTType:	Golden
RefDUTVoc:	  49.3210
RemFlashCountForCalib:	1595.0000
Rs:	   0.2747
Rsh:  534.2642
Snr: A8C7A2A
SortingRcpID:	1697254895
SortingRcpName:	TP540 30MM-AIKO-Short cable white tedler(Non DCR)
TempDUT:	  23.5491
TempMC:	  24.3927
TempTgt:   25.0000
Transmissivity:	   1.0000
UserDisplayName: 
UserName: 
UserRole: ENGINEER
Voc:	  50.1941
Vpmax:	  42.1558
Vref1:	N/A
Vrev1:	N/A
Vrev2:	N/A
sessionId: b452bc51-1b50-482b-8e35-4dfe4f86c785

-----------------------

IV curve data :

TimeOffset,Vimp,Iraw,Vraw,Graw,Current,Voltage,Irradiance
0.0018,2.2337,13.5529,5.1855,1000.1063,13.5600,5.0837,1000.1063
0.0018,2.3847,13.5529,5.3122,999.8723,13.5632,5.2122,999.8723
0.0018,2.5357,13.5470,5.4706,1000.2234,13.5525,5.3748,1000.2234
0.0018,2.6867,13.5548,5.6290,1000.0478,13.5628,5.5366,1000.0478
0.0018,2.8377,13.5470,5.7979,1000.3404,13.5509,5.7096,1000.3404
0.0018,2.9887,13.5470,5.9352,1000.3989,13.5501,5.8500,1000.3989
0.0018,3.1397,13.5509,6.1147,1000.2819,13.5556,6.0332,1000.2819
0.0018,3.2907,13.5489,6.2520,1000.5159,13.5505,6.1741,1000.5159
0.0018,3.4417,13.5529,6.3998,1000.6329,13.5529,6.3258,1000.6329
0.0018,3.5928,13.5489,6.5688,1000.6329,13.5489,6.4980,1000.6329
0.0018,3.7438,13.5529,6.7272,1000.7499,13.5513,6.6605,1000.7499
0.0018,3.8948,13.5548,6.8539,1000.8084,13.5524,6.7903,1000.8084
0.0018,4.0458,13.5470,7.0229,1000.9840,13.5422,6.9629,1000.9840
0.0018,4.1968,13.5489,7.1918,1000.9840,13.5442,7.1355,1000.9840
0.0018,4.3478,13.5450,7.3397,1001.0425,13.5394,7.2864,1001.0425
0.0018,4.4988,13.5430,7.4981,1000.9840,13.5383,7.4478,1000.9840
0.0018,4.6498,13.5411,7.6565,1000.9840,13.5363,7.6094,1000.9840
0.0018,4.8008,13.5411,7.7832,1000.9840,13.5363,7.7388,1000.9840
0.0019,4.9518,13.5391,7.9416,1001.0425,13.5335,7.9006,1001.0425
0.0019,5.1029,13.5411,8.1211,1001.2180,13.5331,8.0847,1001.2180
0.0019,5.2539,13.5411,8.2795,1001.3935,13.5307,8.2471,1001.3935
0.0019,5.4049,13.5430,8.4062,1001.1595,13.5359,8.3758,1001.1595
0.0019,5.5559,13.5450,8.5646,1000.9840,13.5402,8.5371,1000.9840
0.0019,5.7069,13.5411,8.7125,1001.2765,13.5323,8.6888,1001.2765
0.0019,5.8579,13.5430,8.8814,1001.2765,13.5343,8.8615,1001.2765
0.0019,6.0089,13.5411,9.0292,1001.1010,13.5347,9.0117,1001.1010
0.0019,6.1599,13.5411,9.1876,1001.1595,13.5339,9.1737,1001.1595
0.0019,6.3109,13.5391,9.3460,1001.1010,13.5327,9.3350,1001.1010
0.0019,6.4619,13.5470,9.4728,1001.1595,13.5398,9.4653,1001.1595
0.0019,6.6130,13.5411,9.6523,1000.9255,13.5371,9.6472,1000.9255
0.0019,6.7640,13.5391,9.8001,1000.9840,13.5343,9.7983,1000.9840
0.0019,6.9150,13.5391,9.9480,1000.8084,13.5367,9.9486,1000.8084
0.0019,7.0660,13.5391,10.1064,1000.8670,13.5359,10.1106,1000.8670
0.0019,7.2170,13.5391,10.2542,1001.1010,13.5327,10.2624,1001.1010
0.0019,7.3680,13.5372,10.4020,1001.0425,13.5316,10.4130,1001.0425
0.0019,7.5190,13.5352,10.5604,1000.9840,13.5304,10.5744,1000.9840
0.0019,7.6700,13.5372,10.7188,1000.9840,13.5324,10.7363,1000.9840
0.0019,7.8210,13.5352,10.8878,1000.9255,13.5312,10.9084,1000.9255
0.0019,7.9720,13.5391,11.0462,1000.9255,13.5351,11.0705,1000.9255
0.0020,8.1230,13.5391,11.1940,1000.8084,13.5367,11.2210,1000.8084
0.0020,8.2741,13.5332,11.3313,1000.5744,13.5340,11.3599,1000.5744
0.0020,8.4251,13.5391,11.5003,1000.5159,13.5407,11.5327,1000.5159
0.0020,8.5761,13.5332,11.6587,1000.5744,13.5340,11.6942,1000.5744
0.0020,8.7271,13.5352,11.8065,1000.5744,13.5360,11.8453,1000.5744
0.0020,8.8781,13.5391,11.9543,1000.5159,13.5407,11.9964,1000.5159
0.0020,9.0291,13.5352,12.1022,1000.3989,13.5383,12.1466,1000.3989
0.0020,9.1801,13.5313,12.2606,1000.5159,13.5328,12.3085,1000.5159
0.0020,9.3311,13.5352,12.4401,1000.2819,13.5399,12.4912,1000.2819
0.0020,9.4821,13.5332,12.5774,1000.1648,13.5395,12.6308,1000.1648
0.0020,9.6331,13.5313,12.7358,1000.1063,13.5384,12.7922,1000.1063
0.0020,9.7842,13.5332,12.8730,999.9893,13.5419,12.9321,999.9893
0.0020,9.9352,13.5332,13.0209,999.7553,13.5451,13.0822,999.7553
0.0020,10.0862,13.5332,13.1898,1000.1063,13.5403,13.2560,1000.1063
0.0020,10.2372,13.5332,13.3588,999.9893,13.5419,13.4281,999.9893
0.0020,10.3882,13.5293,13.4961,999.8138,13.5404,13.5673,999.8138
0.0020,10.5392,13.5332,13.6650,999.8723,13.5435,13.7404,999.8723
0.0020,10.6902,13.5313,13.8129,999.6968,13.5439,13.8906,999.6968
0.0020,10.8412,13.5313,13.9607,999.8138,13.5423,14.0420,999.8138
