****Header****
date 01/15/25 03:37:16
****Body****

All possible value of one measure

Algorithm: SmartSweep_HL#1736329709
AlphaMC:	   0.0000
CalibAuthor: eng
CalibCheckAuthor: N/A
CalibValidity:	invalid
ClassBinID:	   1
ClassID:	N/A
ClassName:	TP540HG10-8000011182
Eff:	   0.2102
Emissivity:	   1.0000
FF:	   0.8017
Fcp:	   1.0270
FcsCC:	   1.0031
FcsMC:	   1.0013
Fcv:	   0.9998
FlashCountAtLastCalib:	1793620
FlashCountAtLastCalibCheck:	N/A
Gavg:	1000.5424
Gtgt:	1000.0000
InstID:	1736329709
InstName: New Sec Cal A8BC4CB
InstType: TP540HG10
InstComment: Silver
Ipmax:	  12.9418
Iref1:	  13.6176
Iref2:	N/A
Isc:	  13.6173
Ivrev1:	N/A
Ivrev2:	N/A
LTI:	   0.0012
LastCalibTime: 2025-01-14 17:38:01
LastCheckTime: N/A
MachStatus:	At Risk
MeasDate:	2025-01-15 03:37:16.171000
MeasStatus:	Ok
Mep: MepSmartSweep
Now: 2025-01-15 03:37:16.506000
Pmax:	 541.6175
Pref1:	   0.0000
Pref2:	N/A
RefDUTIsc:	  13.4160
RefDUTName: New Sec Cal A8BC4CB
RefDUTPmax:	 534.0300
RefDUTSnr:	A8BC4CB
RefDUTType:	Golden
RefDUTVoc:	  49.3210
RemFlashCountForCalib:	1755.0000
Rs:	   0.2679
Rsh:  528.6208
Snr: A8C7A0C
SortingRcpID:	1697254895
SortingRcpName:	TP540 30MM-AIKO-Short cable white tedler(Non DCR)
TempDUT:	  25.2801
TempMC:	  24.4821
TempTgt:   25.0000
Transmissivity:	   1.0000
UserDisplayName: 
UserName: 
UserRole: ENGINEER
Voc:	  49.6149
Vpmax:	  41.8504
Vref1:	N/A
Vrev1:	N/A
Vrev2:	N/A
sessionId: 85ae8835-4c33-43e8-9d64-47351a8252c6

-----------------------

IV curve data :

TimeOffset,Vimp,Iraw,Vraw,Graw,Current,Voltage,Irradiance
0.0018,2.2337,13.6099,5.1643,1000.1648,13.6060,5.3161,1000.1648
0.0018,2.3847,13.6079,5.3333,1000.1063,13.6048,5.4883,1000.1063
0.0018,2.5357,13.6099,5.4706,1000.1648,13.6060,5.6289,1000.1648
0.0018,2.6867,13.6118,5.6290,1000.2819,13.6063,5.7913,1000.2819
0.0018,2.8377,13.6079,5.7979,1000.1063,13.6048,5.9630,1000.1063
0.0018,2.9887,13.6040,5.9458,1000.2819,13.5985,6.1143,1000.2819
0.0018,3.1397,13.6059,6.1042,1000.3989,13.5989,6.2767,1000.3989
0.0018,3.2907,13.6059,6.2520,1000.2819,13.6004,6.4273,1000.2819
0.0018,3.4417,13.6079,6.3893,1000.0478,13.6056,6.5668,1000.0478
0.0018,3.5928,13.6079,6.5688,1000.1648,13.6040,6.7506,1000.1648
0.0018,3.7438,13.6059,6.7378,1000.5159,13.5973,6.9243,1000.5159
0.0018,3.8948,13.6099,6.8539,1000.4574,13.6020,7.0431,1000.4574
0.0018,4.0458,13.6099,7.0229,1000.2819,13.6044,7.2150,1000.2819
0.0018,4.1968,13.6059,7.1813,1000.3989,13.5989,7.3770,1000.3989
0.0018,4.3478,13.6020,7.3291,1000.1648,13.5981,7.5268,1000.1648
0.0018,4.4988,13.6020,7.4875,1000.0478,13.5997,7.6882,1000.0478
0.0018,4.6498,13.5961,7.6353,1000.2819,13.5906,7.8396,1000.2819
0.0018,4.8008,13.6020,7.7937,1000.2819,13.5965,8.0019,1000.2819
0.0019,4.9518,13.6079,7.9521,1000.1648,13.6040,8.1637,1000.1648
0.0019,5.1029,13.6040,8.0789,1000.2819,13.5985,8.2933,1000.2819
0.0019,5.2539,13.6059,8.2584,1000.1648,13.6020,8.4764,1000.1648
0.0019,5.4049,13.6040,8.4062,999.9893,13.6025,8.6266,999.9893
0.0019,5.5559,13.6020,8.5752,1000.1648,13.5981,8.7997,1000.1648
0.0019,5.7069,13.5981,8.7019,1000.1648,13.5942,8.9288,1000.1648
0.0019,5.8579,13.6059,8.8709,1000.1648,13.6020,9.1020,1000.1648
0.0019,6.0089,13.5981,9.0187,1000.2819,13.5926,9.2528,1000.2819
0.0019,6.1599,13.5981,9.1982,1000.1648,13.5942,9.4358,1000.1648
0.0019,6.3109,13.5941,9.3355,1000.1063,13.5910,9.5755,1000.1063
0.0019,6.4619,13.5922,9.4833,1000.2234,13.5875,9.7268,1000.2234
0.0019,6.6130,13.6000,9.6628,1000.0478,13.5977,9.9101,1000.0478
0.0019,6.7640,13.6079,9.7896,1000.1063,13.6048,10.0404,1000.1063
0.0019,6.9150,13.6020,9.9374,1000.1063,13.5989,10.1910,1000.1063
0.0019,7.0660,13.6000,10.1380,1000.2234,13.5953,10.3962,1000.2234
0.0019,7.2170,13.5961,10.2542,1000.1063,13.5930,10.5141,1000.1063
0.0019,7.3680,13.5941,10.4126,999.9893,13.5926,10.6753,999.9893
0.0019,7.5190,13.5981,10.5710,1000.2819,13.5926,10.8385,1000.2819
0.0019,7.6700,13.6020,10.7294,1000.0478,13.5997,10.9998,1000.0478
0.0019,7.8210,13.6020,10.8983,999.9308,13.6013,11.1720,999.9308
0.0019,7.9720,13.6020,11.0251,1000.1648,13.5981,11.3023,1000.1648
0.0020,8.1230,13.5981,11.1940,999.9893,13.5966,11.4739,999.9893
0.0020,8.2741,13.6000,11.3419,999.9308,13.5993,11.6248,999.9308
0.0020,8.4251,13.6000,11.4897,1000.2819,13.5946,11.7771,1000.2819
0.0020,8.5761,13.5981,11.6481,999.9893,13.5966,11.9377,999.9893
0.0020,8.7271,13.5961,11.7959,1000.0478,13.5938,12.0888,1000.0478
0.0020,8.8781,13.5941,11.9755,1000.0478,13.5918,12.2720,1000.0478
0.0020,9.0291,13.5902,12.1127,1000.0478,13.5879,12.4119,1000.0478
0.0020,9.1801,13.5961,12.2395,999.9893,13.5946,12.5416,999.9893
0.0020,9.3311,13.5941,12.4295,1000.0478,13.5918,12.7359,1000.0478
0.0020,9.4821,13.5941,12.5774,1000.0478,13.5918,12.8869,1000.0478
0.0020,9.6331,13.5941,12.7358,999.7553,13.5958,13.0476,999.7553
0.0020,9.7842,13.5941,12.8836,999.8723,13.5942,13.1991,999.8723
0.0020,9.9352,13.5902,13.0314,999.8138,13.5911,13.3496,999.8138
0.0020,10.0862,13.5961,13.1898,999.8723,13.5962,13.5120,999.8723
0.0020,10.2372,13.5941,13.3377,999.9308,13.5934,13.6631,999.9308
0.0020,10.3882,13.5941,13.4961,999.9308,13.5934,13.8249,999.9308
0.0020,10.5392,13.5902,13.6545,999.7553,13.5919,13.9858,999.7553
0.0020,10.6902,13.5941,13.8023,999.8723,13.5942,14.1375,999.8723
0.0020,10.8412,13.5922,13.9713,999.6968,13.5947,14.3093,999.6968
0.0021,10.9922,13.5922,14.1191,999.8723,13.5923,14.4610,999.8723
0.0021,11.1432,13.5902,14.2775,999.7553,13.5919,14.6222,999.7553
0.0021,11.2943,13.5941,14.4253,999.9893,13.5926,14.7744,999.9893
0.0021,11.4453,13.5922,14.5732,999.9308,13.5915,14.9250,999.9308
0.0021,11.5963,13.5902,14.7316,999.8723,13.5903,15.0865,999.8723
0.0021,11.7473,13.5902,14.8689,999.8723,13.5903,15.2267,999.8723
0.0021,11.8983,13.5922,15.0589,999.9893,13.5907,15.4214,999.9893
0.0021,12.0493,13.5941,15.2068,999.8723,13.5942,15.5722,999.8723
0.0021,12.2003,13.5961,15.3757,999.9308,13.5954,15.7452,999.9308
0.0021,12.3513,13.5922,15.5130,999.9893,13.5907,15.8853,999.9893
0.0021,12.5023,13.5883,15.6714,1000.0478,13.5859,16.0470,1000.0478
0.0021,12.6533,13.5883,15.8192,1000.0478,13.5859,16.1980,1000.0478
0.0021,12.8044,13.5941,15.9882,999.9893,13.5926,16.3709,999.9893
